poi_name,category,source_keyword,address,distance,lat,lng,telephone,pet_friendly_status,confidence_level,evidence_source,evidence_text,suitable_pet_size,space_type,crowd_level,pet_stress_level,risk_note,transaction_action,route_role
寸打丁·生日蛋糕·咖啡·堂食甜点(新街口店),美食;蛋糕甜品店,新街口 咖啡,中山南路219号（蛋糕外送）,719,32.038982,118.79113,13372021317,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
楠风旧梦猫咪咖啡·狗咖(新街口店),美食;咖啡厅,新街口 咖啡,中山东路南京国际贸易中心30楼（新百B座楼上、近3号或8号电梯）,920,32.046967,118.791435,18205087835,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
星巴克(南京大洋店),美食;咖啡厅,新街口 咖啡,江苏省南京市秦淮区中山南路122号1层1B-17,646,32.044641,118.78987,025-84738776,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
Blue Whale Coffee·蓝鲸咖啡(新街口店),美食;咖啡厅,新街口 咖啡,南台巷西6号-101-4室,341,32.043576,118.786764,18101597098,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
星巴克(南京汉中环亚广场店),美食;咖啡厅,新街口 咖啡,江苏省南京市秦淮区汉中路143号F01-05铺位,744,32.04813,118.78302,025-85732605,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,散步/休息节点
M Stand(南京新街口诺富特店),美食;咖啡厅,新街口 咖啡,淮海路68号诺富特酒店一楼大堂左侧A01,815,32.043523,118.792417,13052240276,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
瑞幸咖啡(新街口苏宁雅悦大堂店),美食;咖啡厅,新街口 咖啡,淮海路88号苏宁雅悦一层大堂,861,32.042826,118.793106,4000100100,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
A Lot cafe and canteen(新街口店),美食;咖啡厅,新街口 咖啡,朝天宫街道新街口丰富路陆家巷6号楼1-1,542,32.043966,118.789061,18651609482,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
COSTA COFFEE(长江路九号店),美食;咖啡厅,新街口 咖啡,长江路九号B1栋一楼（徽商银行背后一栋）,1504,32.049788,118.796723,(025)52232370,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
瑞幸咖啡(新街口新华书店店),美食;咖啡厅,新街口 咖啡,洪武北路98号南京图书发行大厦底商,1144,32.047305,118.794133,4000100100,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
KONTAINER COFFEE STORE,美食;咖啡厅,新街口 咖啡,新街口街道估衣廊8号106（门口有黑色长椅）,1539,32.053007,118.793175,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
缇里咖啡(南京新街口店),美食;咖啡厅,新街口 咖啡,管家桥61号-102缇里咖啡（新街口管家桥店）,1069,32.050253,118.788812,15240212607,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
UNCLE SEAL CAFE海豹蜀黍,美食;咖啡厅,新街口 咖啡,珠江路88号新世界中心A座3921室,1905,32.055859,118.795138,15850516472,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
拾惑Coffee & Whisky Bar,美食;酒吧,新街口 咖啡,朝天宫街道汉中路89号新街口金鹰国际A座29楼A4(拾惑),724,32.047569,118.786885,13952092503,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
Bistro小馆子,美食;咖啡厅,新街口 咖啡,"新街口街道石婆婆庵16号,小馆子咖啡",1773,32.05192,118.798349,13515627825,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
星巴克臻选(南京艾尚天地店),美食;咖啡厅,新街口 咖啡,江苏省南京市玄武区中山路132号102室,1530,32.053983,118.790936,025-58750400,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
星巴克(南京Solo1913店),美食;咖啡厅,新街口 咖啡,江苏省南京市玄武区洪武北路129号第一层04-1铺位,1638,32.052836,118.795213,025-58760017,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
clip coffee,美食;咖啡厅,新街口 咖啡,双井巷1号（北京小炮儿炙子烤肉对面）,2247,32.056965,118.799447,18752000610,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
Four Cups(估依廊店),美食;咖啡厅,新街口 咖啡,新街口街道估衣廊2号201室(农业银行右边巷子到头二楼),1496,32.052321,118.793547,13851843993,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
星巴克(南京新世界百货店),美食;咖啡厅,新街口 咖啡,江苏省南京市玄武区珠江路88号底商一层1F-001单元,1883,32.056075,118.794278,025-57047030,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,室内/商场,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00；室内区域是否允许携宠需确认,出发前确认,候选节点
串酒屋·成都串串·川菜酒馆(新街口总店),美食;中餐厅,新街口 咖啡,石鼓路42-3号建华大厦一二楼（瑞幸咖啡楼上）,617,32.045366,118.788809,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
星巴克(南京鼓楼医院店),美食;咖啡厅,新街口 咖啡,中山路321号医院南扩新院区门诊大楼一楼,2251,32.061232,118.789463,025-51865029,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
库迪咖啡(南京丹凤街店),美食;咖啡厅,新街口 咖啡,新街口街道鱼市街2号临街10号铺,1952,32.056992,118.793863,17512585124,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
咖芙(新街口店),美食;咖啡厅,新街口 咖啡,韩家巷长江花园北区韩家巷6号底商,1584,32.053712,118.792763,17361803959,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
% Arabica阿拉比卡咖啡(德基广场店),美食;咖啡厅,新街口 咖啡,中山路18号德基广场二期负一层C162号商铺,1244,32.050929,118.791214,15380945023,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,散步/休息节点
STANDING ROOM(东大店),美食;咖啡厅,新街口 咖啡,蓁巷9-3号(近东南大学南门),2424,32.058851,118.799677,18694983599,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
COSTA COFFEE(金鹰珠江路店),美食;咖啡厅,新街口 咖啡,珠江路1号金鹰国际购物中心南馆1层,1866,32.056923,118.791907,(025)83627097,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
T-COFFEE(长江花园店),美食;咖啡厅,新街口 咖啡,廊后街长江花园13-5号,1475,32.05268,118.792527,13675153740,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
星巴克(南京珍珠饭店店),美食;咖啡厅,新街口 咖啡,江苏省南京市玄武区珠江路389号,2259,32.055227,118.801781,025-85635502,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
FLYING FISH COFFEE飞鱼咖啡,美食;咖啡厅,新街口 咖啡,新街口街道同仁西街16-11号,1975,32.057821,118.792384,13776411393,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
Cafe Mo,美食;咖啡厅,新街口 咖啡,四牌楼4-5号（近南师附小）,2449,32.060025,118.798166,13182876389,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
COSTA COFFEE(江苏广电2期店),美食;咖啡厅,新街口 咖啡,北京东路4号荔枝广场广电2期2F,2629,32.064249,118.791714,(025)89691979,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
LIBERICA利比卡咖啡(玄武大石桥店),美食;咖啡厅,新街口 咖啡,大石桥街6号东06室（学府路公交车站旁）,2372,32.060397,118.795787,13236532779,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
ART咖啡馆,美食;咖啡厅,新街口 咖啡,珠江路88号新世界中心A座4401室,1894,32.055776,118.795074,(025)85202258,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
STANDING+ROOM+COFFEE(东大店),美食;咖啡厅,新街口 咖啡,江苏省南京市玄武区新街口街道蓁巷9-3号(近东南大学南门),2429,32.058839,118.799788,18694983599,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
新街口,交通设施;地铁站,新街口 外摆 咖啡,地铁1号线;地铁2号线,889,32.047295,118.790606,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
新街口,行政地标;商圈,新街口 外摆 咖啡,淮海路88号,1095,32.047756,118.793082,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
小川料理(新街口店),美食;外国餐厅,新街口 外摆 咖啡,洪武路西方巷26号（雾造隔壁）,988,32.037946,118.793718,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
秘境超级密室(新街口店),休闲娱乐;游戏场所,新街口 外摆 咖啡,中山南路122号大洋百货八楼8T—07,683,32.045182,118.789896,18061461675,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
多克多蒸气茶DOKDO(新街口店),美食;其他,新街口 外摆 咖啡,朝天宫街道石鼓路40号(近丰富路),660,32.045723,118.789026,(025)84713857,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
段氏·川味江湖菜馆(新街口店),美食;中餐厅,新街口 外摆 咖啡,汉中路27号友谊广场(负一楼)13号,786,32.047686,118.788118,19822633984,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
新街口市集(南京新百店),休闲娱乐,新街口 外摆 咖啡,南京市秦淮区中山南路1号南京新百商场A座L1东南门广场,990,32.047248,118.792123,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
Risingcoffee升咖啡(新街口店),美食;咖啡厅,新街口 露台 咖啡,火瓦巷35-1号104室（刀郎烧烤隔壁）,1136,32.038115,118.795465,13270889312,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
新街口商业步行区,购物;其他,新街口 露台 咖啡,江苏省南京市秦淮区中山南路79号中央商场,896,32.045929,118.792045,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
新街口地铁站-11口,出入口;其他,新街口 露台 咖啡,,866,32.046843,118.790797,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
OT另茶(南京新街口金鹰店),美食;其他,新街口 露台 咖啡,新街口商贸街区汉中路101号负一层A-FB1001-1,755,32.048022,118.786319,"18066084426,18951625670",可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
新街口南,交通设施;公交车站,新街口 露台 咖啡,16路;27路;28路;33路;35路;100路;306路;Y16路夜间,672,32.044134,118.790527,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
豪客来牛排(新街口大洋百货店),美食;外国餐厅,新街口 露台 咖啡,中山南路122号大洋百货五楼,645,32.044753,118.789758,(025)57726029,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,室内/商场,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；室内区域是否允许携宠需确认；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
和熟·巴斯克芝士蛋糕(新街口地铁店),美食;蛋糕甜品店,新街口 露台 咖啡,新街口地铁站一号线三号下来右转地铁商铺C42号黄记玉米汁隔壁,435,32.040912,118.788669,19941521816,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
古早萬丹传统台湾糕点(新街口店),美食;蛋糕甜品店,新街口 露台 咖啡,"地铁一号线新街口站B02号（新街口地铁站12号线负一层,好一朵茉莉花正对面）",930,32.047362,118.79114,"17714199099,18868448068",可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
Alkupera Cafe原点咖啡,美食;咖啡厅,新街口 露台 咖啡,汉口路47号二楼（好运智竞馆门牌上楼）,2011,32.059552,118.78543,18061480170,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
南京新街口苏宁诺富特酒店,酒店,新街口 露台 咖啡,淮海路68号,825,32.043302,118.792596,(025)58798888,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
塔星塔罗(新街口店),休闲娱乐;游戏场所,新街口 露台 咖啡,莱迪购物广场2C025,993,32.046069,118.793151,13813892544,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
新街口北,交通设施;公交车站,新街口 露台 咖啡,1路;16路;25路;28路;33路;34路;34路区间;35路;100路;Y1路夜间,1127,32.05002,118.790595,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
新街口东,交通设施;公交车站,新街口 露台 咖啡,1路;3路;5路;9路;25路;34路;34路区间;Y1路夜间;Y24路夜间;Y5路夜间,1260,32.047741,118.795265,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
南京新街口国信大酒店,酒店,新街口 露台 咖啡,江苏省南京市玄武区长江路88号,1443,32.052017,118.793076,(025)86885088,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
新街口西,交通设施;公交车站,新街口 露台 咖啡,3路;4路;9路;18路;302路;Y24路夜间,769,32.048274,118.785775,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,待确认,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,候选节点
85℃ Coffee,美食;咖啡厅,新街口 露台 咖啡,江苏省南京市秦淮区仙鹤街4号,1769,32.025782,118.781088,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
醉隐·庭院露台·bar,美食;酒吧,新街口 露台 咖啡,马道街37-1号,2495,32.020557,118.793618,15366102217,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
怒烤天台露营烤串(建邺吾悦店),美食;中餐厅,新街口 露台 咖啡,燕山路建邺吾悦广场5楼（好利来左侧三号影院电梯直达）,4030,32.0432,118.741387,,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,散步/休息节点
喜茶(南京新街口淮海路店),美食;其他,新街口 茶饮,淮海路36号-1商铺,764,32.043786,118.791746,(025)83569535,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
永民手作(明瓦廊店),美食;其他,新街口 茶饮,明瓦廊129号（新街口地铁站15号口步行190米）,582,32.043609,118.789757,18115470311,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
CoCo都可(地铁一店),美食;其他,新街口 茶饮,中山南路地铁一号线新街口站7号出口隔壁,1001,32.048392,118.790933,18951086101,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
茶百道(新街口店),美食;其他,新街口 茶饮,丰富路181号2室,432,32.043519,118.788017,13584015858,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,待确认,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,候选节点
