poi_name,category,source_keyword,address,distance,lat,lng,telephone,pet_friendly_status,confidence_level,evidence_source,evidence_text,suitable_pet_size,space_type,crowd_level,pet_stress_level,risk_note,transaction_action,route_role,demo_selected_reason,manual_review_required
福奈特洗衣·洗鞋·奢侈品护理(新街口金鹰国际广场店),生活服务;洗衣店,新街口 广场,汉中路89号金鹰国际购物中心新街口店A座负1层,714,32.047865,118.785152,,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,短时活动空间,适合作为遛宠路线中的短时活动和停留空间,是
口袋公园,旅游景点,新街口 公园,南京市秦淮区罗廊路陶李王巷新苑东侧,797,32.045911,118.777435,,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,短时活动空间,适合作为遛宠路线中的短时活动和停留空间,是
水火陶艺手作坊(新街口友谊广场店),休闲娱乐;其他,新街口 广场,汉中路27号友谊广场三楼（从旅见酒店大堂进上直梯三楼）,802,32.047748,118.788365,19844563140,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,小型犬/中型犬,开放空间,中,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00,出发前确认,短时活动空间,适合作为遛宠路线中的短时活动和停留空间,是
和熟·巴斯克芝士蛋糕(新街口地铁店),美食;蛋糕甜品店,新街口 露台 咖啡,新街口地铁站一号线三号下来右转地铁商铺C42号黄记玉米汁隔壁,435,32.040912,118.788669,19941521816,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,宠物友好消费点,适合作为路线中的消费停靠点，优先保留非待确认携宠状态,是
豪客来牛排(新街口大洋百货店),美食;外国餐厅,新街口 露台 咖啡,中山南路122号大洋百货五楼,645,32.044753,118.789758,(025)57726029,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,待确认,室内/商场,高,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；室内区域是否允许携宠需确认；建议确认外摆是否开放及是否允许中型犬,出发前确认,宠物友好消费点,适合作为路线中的消费停靠点，优先保留非待确认携宠状态,是
多克多蒸气茶DOKDO(新街口店),美食;其他,新街口 外摆 咖啡,朝天宫街道石鼓路40号(近丰富路),660,32.045723,118.789026,(025)84713857,可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,宠物友好消费点,适合作为路线中的消费停靠点，优先保留非待确认携宠状态,是
OT另茶(南京新街口金鹰店),美食;其他,新街口 露台 咖啡,新街口商贸街区汉中路101号负一层A-FB1001-1,755,32.048022,118.786319,"18066084426,18951625670",可能宠物友好,中,百度地图 Place API + 轻量关键词规则,命中外摆/户外/宠物友好关键词,小型犬/中型犬,外摆/户外,中,中,高峰期人流较大，建议全程牵引并避开 16:00-18:00；建议确认外摆是否开放及是否允许中型犬,出发前确认,宠物友好消费点,适合作为路线中的消费停靠点，优先保留非待确认携宠状态,是
噗噗宠物自助浴场(新街口店),生活服务;宠物服务,新街口 宠物店,莫愁路329号7-2号楼106室,345,32.042965,118.780862,19523118587,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,宠物服务/补给点,适合作为宠物服务、护理或补给节点,是
相当宠·宠物蛋糕·洗护,生活服务;宠物服务,新街口 宠物洗护,莫愁湖东路16号-6,996,32.039693,118.773742,15001301030,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,宠物服务/补给点,适合作为宠物服务、护理或补给节点,是
南京东洲宠物用品有限公司,公司企业;公司,新街口 宠物洗护,江苏省南京市玄武区新街口街道长江路188号德基大厦7楼D座,1585,32.050989,118.796653,(025)86816312,宠物服务相关,高,百度地图 Place API + 轻量关键词规则,命中宠物服务关键词,小型犬/中型犬/猫,宠物服务门店,中,低,高峰期人流较大，建议全程牵引并避开 16:00-18:00,电话咨询/到店服务,宠物服务/补给点,适合作为宠物服务、护理或补给节点,是
环亚广场(新街口店),购物;购物中心,新街口 广场,石鼓路33号,551,32.04487,118.788386,(025)84203888,待确认,低,百度地图 Place API + 轻量关键词规则,开放空间或街区类 POI，需人工确认携宠规则,待确认,室内/商场,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00；室内区域是否允许携宠需确认,出发前确认,雨天备选点,适合作为雨天或天气不佳时的备选停靠点,是
金鹰国际购物中心A座(新街口店)-东南1门,出入口;门,新街口 购物中心,南京市秦淮区汉中路101号,653,32.046894,118.786846,,待确认,低,百度地图 Place API + 轻量关键词规则,未命中明确宠物友好证据,待确认,室内/商场,高,中,携宠规则需出发前确认；高峰期人流较大，建议全程牵引并避开 16:00-18:00；室内区域是否允许携宠需确认,出发前确认,雨天备选点,适合作为雨天或天气不佳时的备选停靠点,是
